"","age","bid","biden","bipoc","ccHumanCaused","ccNatureCaused","collegeGrad","county","drought","drought3","drought4","DurationSec","educ","EEExposure","EEExposureAll","EEFrequency","EEFrequencyAll","EEIntensity","EEIntensityAll","extremeExperienceYN","fires","heatwaves","hurricanes","hurricanesTropStorms","income","male","nonvoter","noReportDrought","noReportFire","noReportHeatwave","noReportHurricaneTropStorm","noReportTornado","PersonalExpImpact_evacuate","PersonalExpImpact_incomelost","PersonalExpImpact_livingquarterdamage","PersonalExpImpact_livingquarterlost","PersonalExpImpact_nearmiss","PersonalExpImpact_other","PersonalExpImpact_sheltering","PersonalExpImpact_smoke","PersonalExpImpact_total","PersonalExpImpactOE","PersonalExpType_drought","PersonalExpType_flood","PersonalExpType_heat","PersonalExpType_hurricane","PersonalExpType_other","PersonalExpType_tornado","PersonalExpType_total","PersonalExpType_wildfire","PersonalExpTypeOE","Registered_Drought","Registered_EventTypeSum","Registered_Extreme","Registered_Extreme_incldHeatwaves","Registered_Heatwave","Registered_Hurricane","Registered_NoReport_Extreme","Registered_Tornado","Registered_Wildfire","Reported_Drought","Reported_Extreme","Reported_Extreme_exldHeatFlood","Reported_Flood","Reported_Heatwave","Reported_Hurricane","Reported_Other","Reported_Tornado","Reported_Wildfire","ReportedFlood_NoVerified_Extreme","ReportedHeatwave_NoVerified_Extreme","ReportedIntensity_Extreme","state","thirdparty","tornado0","tornado1","tornado2","tornado3","tornado4","tornadoTotal","tropStorms","trump","Verified_Drought","Verified_Extreme","Verified_Extreme_Any","Verified_Heatwave","Verified_Hurricane","Verified_Tornado","Verified_Wildfire","wtp","wtpValue"
"941",2.1,65,1,1,1,0,1,"Clarke County",0.211794433306569,7,6,2456,3,10,10,5,5,5,5,1,0,9,0,0,62.5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,0,1,1,1,0,1,5,1,NA,1,2,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0.937864175361868,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,1,0,0,0,1,65
"942",2.1,205,1,1,1,0,0,"DeKalb County",0.288468594955796,14,0,3042,2,5,5,1,1,4,4,1,0,11,0,0,37.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,"i was in middle east , and the heat was overwhelming and i had not experienced before",0,0,1,0,0,0,1,0,NA,1,2,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0.590353799420343,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,1,0,0,0,1,205
"943",2.95,85,0,0,0,1,1,"San Joaquin County",3.77410318543769,38,15,1077,3,NA,0,NA,0,NA,0,0,0,6,0,0,62.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"CA",1,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,85
"944",2.1,85,1,1,1,0,1,"San Bernardino County",3.9214835293848,55,0,998,4,9,9,2,2,7,7,1,0,11,0,0,37.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,0,1,1,0,0,0,3,1,NA,1,2,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1.63288492724492,"CA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,1,0,0,0,1,85
"945",3.95,45,0,1,1,0,0,"Kings County",-0.952073089971179,0,0,4593,2,4,4,3,3,1,1,1,0,6,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,1,1,3,0,NA,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,-0.452177328404229,"NY",0,0,0,0,0,0,-0.809391123281774,0,1,0,0,0,0,0,0,0,1,45
"946",2.95,145,1,1,0,0,1,"Westchester County",-0.952073089971179,0,0,538,3,6,6,2,2,4,4,1,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0.590353799420343,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,145
"947",2.95,105,0,1,1,0,1,"Palm Beach County",-0.952073089971179,0,0,1445,3,NA,0,NA,0,NA,0,0,0,18,0,0,87.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"FL",0,1,0,0,0,0,2.07068133037738,0,0,0,0,0,0,0,0,0,0,105
"948",2.1,185,1,1,1,0,0,"Duval County",-0.952073089971179,0,0,571,2,3,3,0,0,3,3,1,0,14,1,2,62.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,NA,0,0,0,1,0,0,1,0,NA,0,2,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.242843423478819,"FL",0,0,0,0,0,0,-0.809391123281774,1,0,0,1,1,0,1,0,0,1,185
"949",2.1,65,0,1,0,1,0,"Queens County",-0.952073089971179,0,0,680,2,NA,0,NA,0,NA,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"NY",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,0,0,0,0,0,1,65
"950",2.95,105,1,1,1,0,1,"Forrest County",-0.774852849267326,2,0,878,3,NA,0,NA,0,NA,0,0,8,6,1,2,17.5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,1,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.799687704345754,"MS",0,0,1,0,1,0,9.44354420462177,1,0,0,0,0,0,0,0,0,0,105
"951",2.95,25,1,1,1,0,0,"DeKalb County",1.26715857172789,23,2,533,2,4,4,1,1,3,3,1,0,10,0,0,62.5,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,2,NA,0,0,0,1,0,0,1,0,NA,1,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.242843423478819,"GA",0,0,0,0,0,0,-0.809391123281774,0,0,0,0,1,0,0,0,0,1,25
